,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
55,Anga Dedryck Boyata,DF,be Belgium,30,1990,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,7c473e12
56,Jakub Brabec,DF,cz Czech Republic,28,1992,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,341e14aa
57,Martin Braithwaite Christensen,FWMF,dk Denmark,29,1991,6,6,564,6.3,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,1.8,1.8,0.4,2.2,0.29,0.06,0.36,0.29,0.36,Matches,fd771f95
58,Josip Brekalo,FWDF,hr Croatia,22,1998,3,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.28,0.28,0.00,0.28,Matches,d4a2533d
59,David Brooks,FWMF,wls Wales,23,1997,3,0,34,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dc4cae05
60,Marcelo Brozović,MF,hr Croatia,28,1992,4,3,283,3.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches,33b8d077
61,Ante Budimir,MF,hr Croatia,29,1991,1,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,1.94,0.00,1.94,1.94,1.94,Matches,8f3565b3
62,Heorhii Bushchan,GK,ua Ukraine,26,1994,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eb2b33aa
63,Sergio Busquets i Burgos,MF,es Spain,32,1988,4,4,396,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.05,0.08,0.13,0.05,0.13,Matches,5ab0ea87
64,Jens Cajuste,MF,se Sweden,21,1999,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,928a4a61
65,Uğurcan Çakır,GK,tr Turkey,24,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f63a8347
66,Duje Ćaleta-Car,DF,hr Croatia,24,1996,2,2,210,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,94f8d10c
67,Hakan Çalhanoğlu,MF,tr Turkey,26,1994,3,3,265,2.9,0,1,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,0.0,0.0,0.5,0.5,0.01,0.17,0.18,0.01,0.18,Matches,cd0fa27b
68,Dominic Calvert-Lewin,FW,eng England,23,1997,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,59e6e5bf
69,Emre Can,DFMF,de Germany,27,1994,3,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a65ce836
70,Yannick Ferreira Carrasco,MF,be Belgium,27,1993,3,2,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.03,0.11,0.08,0.11,Matches,de39485a
71,William Silva de Carvalho,MF,pt Portugal,28,1992,2,2,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dee86451
72,Timothy Castagne,DF,be Belgium,25,1995,1,1,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,197640fd
73,Gaetano Castrovilli,MF,it Italy,23,1997,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0728bebe
