,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
213,Simon Thorup Kjær,DF,dk Denmark,31,1989,6,6,528,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.10,0.02,0.12,0.10,0.12,Matches,8b8a56ce
214,László Kleinheisler,MF,hu Hungary,26,1994,3,3,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.01,0.02,0.00,0.02,Matches,af8e4246
215,Mateusz Andrzej Klich,MF,pl Poland,30,1990,3,3,210,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.09,0.09,0.01,0.09,Matches,282679b4
216,Orkun Kökçü,MF,tr Turkey,20,2000,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.37,0.37,0.00,0.37,Matches,9bf914b4
217,Jorge Resurrección Merodio,MF,es Spain,29,1992,6,6,477,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,1.4,0.15,0.11,0.26,0.15,0.26,Matches,55126f3b
218,Martin Koscelník,FWDF,sk Slovakia,25,1995,2,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,dd788526
219,Tihomir Kostadinov,MFFW,mk North Macedonia,24,1996,2,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,426ce75f
220,Jules Koundé,DF,fr France,22,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4d1666ff
221,Mateo Kovačić,MF,hr Croatia,26,1994,4,4,338,3.8,0,1,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,0.1,0.1,0.2,0.3,0.03,0.05,0.07,0.03,0.07,Matches,79c0821a
222,Kacper Kozłowski,FWMF,pl Poland,17,2003,2,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3ece036c
223,Emil Krafth,DF,se Sweden,26,1994,4,0,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,77cf6852
224,Alex Král,MF,cz Czech Republic,22,1998,4,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,e717705a
225,Andrej Kramarić,FWMF,hr Croatia,29,1991,4,2,226,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,0.6,0.6,0.0,0.6,0.24,0.02,0.25,0.24,0.25,Matches,603cb947
226,Michael Krmenčík,FW,cz Czech Republic,27,1993,4,0,67,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.62,0.11,0.73,0.62,0.73,Matches,43cd8b69
227,Toni Kroos,MF,de Germany,31,1990,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.05,0.10,0.16,0.05,0.16,Matches,6ce1f46f
228,Grzegorz Krychowiak,MFFW,pl Poland,31,1990,2,2,138,1.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,580d52dd
229,Serhiy Kryvtsov,DF,ua Ukraine,29,1991,2,2,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,292a652a
230,Juraj Kucka,MF,sk Slovakia,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.01,0.10,0.09,0.10,Matches,5aaef9ef
231,Fedor Kudryashov,DF,ru Russia,33,1987,1,1,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ae2d3552
232,Dejan Kulusevski,FW,se Sweden,20,2000,2,1,132,1.5,0,2,0,0,0,1,0,0.00,1.36,1.36,0.00,1.36,0.2,0.2,0.8,0.9,0.12,0.53,0.65,0.12,0.65,Matches,df3cda47
233,Daler Kuzyaev,DFFW,ru Russia,28,1993,3,3,185,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.06,0.02,0.08,0.06,0.08,Matches,d4e93bab
234,Konrad Laimer,FWMF,at Austria,23,1997,4,4,333,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches,c1b7847c
235,Stefan Lainer,DF,at Austria,28,1992,4,4,383,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matches,4aea5077
236,Aymeric Laporte,DF,es Spain,26,1994,6,6,630,7.0,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,Matches,119b9a8e
237,Lassi Lappalainen,FW,fi Finland,22,1998,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,bcb2282d
238,Sebastian Larsson,MF,se Sweden,35,1985,4,4,366,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.03,0.05,0.09,0.03,0.09,Matches,b26efc36
239,Valentino Lazaro,FWMF,at Austria,24,1996,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.44,0.44,0.00,0.44,Matches,016ff750
240,Thomas Lemar,FW,fr France,25,1995,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,2.47,2.47,0.00,2.47,Matches,4dbd0916
241,Clément Lenglet,DF,fr France,25,1995,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4f28a6ff
242,Dylan Levitt,MF,wls Wales,20,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b12d5243
243,Robert Lewandowski,FW,pl Poland,32,1988,3,3,270,3.0,3,0,3,0,0,1,0,1.00,0.00,1.00,1.00,1.00,1.7,1.7,0.3,2.0,0.55,0.10,0.65,0.55,0.65,Matches,8d78e732
244,Philipp Lienhart,DF,at Austria,24,1996,2,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,302527b2
245,Matthijs de Ligt,DFMF,nl Netherlands,21,1999,3,3,231,2.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.39,0.00,0.39,0.39,0.39,Matches,d6e53a3a
246,Victor Nilsson Lindelöf,DF,se Sweden,26,1994,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,f5deef4c
247,Karol Linetty,MF,pl Poland,25,1995,2,1,79,0.9,1,0,1,0,0,0,0,1.14,0.00,1.14,1.14,1.14,0.5,0.5,0.0,0.5,0.52,0.04,0.56,0.52,0.56,Matches,d023d70f
248,Dominik Livaković,GK,hr Croatia,26,1995,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,58f077c0
249,Marcos Llorente Moreno,DF,es Spain,26,1995,4,2,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,1.0,0.20,0.15,0.35,0.20,0.35,Matches,02c15616
250,Hugo Lloris,GK,fr France,34,1986,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
251,Stanislav Lobotka,MF,sk Slovakia,26,1994,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e1cbb531
252,Manuel Locatelli,MF,it Italy,23,1998,5,2,273,3.0,2,0,2,0,0,0,0,0.66,0.00,0.66,0.66,0.66,0.8,0.8,0.1,0.9,0.27,0.04,0.31,0.27,0.31,Matches,a8a874f1
253,Robin Lod,MF,fi Finland,27,1993,3,3,269,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.8,0.04,0.21,0.25,0.04,0.25,Matches,33c69aa0
254,Dejan Lovren,DF,hr Croatia,31,1989,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,1a2935f6
255,Gergő Lovrencsics,DFMF,hu Hungary,32,1988,3,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.10,0.10,0.00,0.10,Matches,0176f037
256,José Luis Gayà Peña,DF,es Spain,25,1995,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.18,0.00,0.18,0.18,0.18,Matches,b05e2dbd
257,Romelu Lukaku Menama,FW,be Belgium,27,1993,5,5,443,4.9,4,0,3,1,1,0,0,0.81,0.00,0.81,0.61,0.61,2.9,2.1,0.2,2.3,0.59,0.03,0.62,0.43,0.46,Matches,5eae500a
258,Mikael Lustig,DF,se Sweden,34,1986,4,4,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.04,0.01,0.04,Matches,54c9ed15
259,Harry Maguire,DF,eng England,27,1993,5,5,510,5.7,1,0,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,0.4,0.4,0.2,0.5,0.07,0.03,0.09,0.07,0.09,Matches,d8931174
260,Róbert Mak,FW,sk Slovakia,29,1991,3,3,230,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.03,0.01,0.03,Matches,73fc8cc3
261,Evgeny Makarenko,MF,ua Ukraine,29,1991,2,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,6d1d3dc3
262,Donyell Malen,FW,nl Netherlands,22,1999,4,2,149,1.7,0,2,0,0,0,0,0,0.00,1.21,1.21,0.00,1.21,0.2,0.2,1.9,2.0,0.10,1.14,1.24,0.10,1.24,Matches,864163f3
263,Ruslan Malinovskiy,MFFW,ua Ukraine,27,1993,4,3,284,3.2,0,1,0,0,1,0,0,0.00,0.32,0.32,0.00,0.32,1.3,0.6,2.1,2.6,0.42,0.65,1.07,0.19,0.84,Matches,48d5bd33
264,Marlos Romero Bonfim,FWMF,ua Ukraine,32,1988,2,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9139bb12
265,David Marshall,GK,sct Scotland,35,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4d93d433
266,Lukáš Masopust,FW,cz Czech Republic,27,1993,5,5,319,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.07,0.07,0.01,0.07,Matches,4adc7b42
267,Mykola Matviyenko,DF,ua Ukraine,24,1996,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1adcf39e
268,Kevin Mbabu,DF,ch Switzerland,25,1995,5,2,216,2.4,0,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,0.1,0.1,0.4,0.5,0.05,0.15,0.20,0.05,0.20,Matches,493924a7
269,Kylian Mbappé Lottin,FW,fr France,22,1998,4,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,1.5,1.5,1.4,2.9,0.35,0.32,0.67,0.35,0.67,Matches,42fd9c7f
270,John McGinn,MF,sct Scotland,26,1994,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.0,0.22,0.12,0.34,0.22,0.34,Matches,90f91999
271,Callum McGregor,MF,sct Scotland,27,1993,3,2,204,2.3,1,0,1,0,0,0,0,0.44,0.00,0.44,0.44,0.44,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,6800f515
272,Scott McKenna,DF,sct Scotland,24,1996,1,0,58,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.37,0.00,0.37,0.37,0.37,Matches,4e5a4cbc
273,Scott McTominay,DFMF,sct Scotland,24,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.10,0.00,0.10,0.10,0.10,Matches,d93c2511
274,Admir Mehmedi,FWMF,ch Switzerland,29,1991,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12,Matches,b500b384
275,Chris Mepham,DF,wls Wales,23,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,fed96827
276,Cengiz Umut Meraş,DF,tr Turkey,25,1995,2,2,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,c8112d1e
277,Dries Mertens,MF,be Belgium,33,1987,4,2,181,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches,89b2c8a9
278,Thomas Meunier,DF,be Belgium,29,1991,5,3,329,3.7,1,2,1,0,0,0,0,0.27,0.55,0.82,0.27,0.82,0.8,0.8,0.3,1.1,0.21,0.08,0.29,0.21,0.29,Matches,e162b013
279,Tyrone Mings,DF,eng England,27,1993,3,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,8397a50c
280,Aleksey Miranchuk,MFFW,ru Russia,25,1995,3,2,172,1.9,1,0,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52,0.2,0.2,0.6,0.8,0.09,0.31,0.40,0.09,0.40,Matches,a9aa0d1d
281,Jakub Moder,MF,pl Poland,21,1999,2,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.16,0.16,0.00,0.16,Matches,f230bc30
282,Luka Modrić,MF,hr Croatia,35,1985,4,4,383,4.3,1,1,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,0.1,0.1,0.4,0.6,0.03,0.10,0.13,0.03,0.13,Matches,6025fab1
283,Kieffer Roberto Francisco Moore,FWMF,wls Wales,28,1992,4,3,288,3.2,1,0,1,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.5,0.5,0.0,0.5,0.15,0.00,0.15,0.15,0.15,Matches,01ce9e70
284,Álvaro Borja Morata Martín,FW,es Spain,28,1992,6,5,449,5.0,3,0,3,0,1,0,0,0.60,0.00,0.60,0.60,0.60,4.1,2.9,0.3,3.2,0.81,0.06,0.87,0.59,0.64,Matches,129af0db
285,Gerard Moreno Balaguero,FW,es Spain,28,1992,5,2,277,3.1,0,2,0,0,1,0,0,0.00,0.65,0.65,0.00,0.65,2.6,1.8,0.3,2.1,0.85,0.09,0.95,0.59,0.68,Matches,81f0781e
286,Joseff Morrell,MF,wls Wales,24,1997,4,4,298,3.3,0,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,0.0,0.0,0.2,0.2,0.01,0.05,0.06,0.01,0.06,Matches,3b935a91
287,Mason Mount,MF,eng England,22,1999,5,5,462,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.1,1.6,0.10,0.21,0.32,0.10,0.32,Matches,9674002f
288,João Filipe Iria Santos Moutinho,MF,pt Portugal,34,1986,4,2,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.06,0.16,0.21,0.06,0.21,Matches,f5a00fa4
289,Maksim Mukhin,MF,ru Russia,19,2001,3,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,90463dba
290,Mert Müldür,DF,tr Turkey,21,1999,2,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.45,0.07,0.52,0.45,0.52,Matches,1295552e
291,Thomas Müller,MFFW,de Germany,31,1989,4,3,292,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.6,1.5,0.26,0.20,0.46,0.26,0.46,Matches,3c6089ab
292,Jamal Musiala,MFFW,de Germany,17,2003,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2c0558b8
293,Visar Musliu,DF,mk North Macedonia,26,1994,3,3,265,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.01,0.07,0.05,0.07,Matches,9d1f0c99
294,Vitalii Mykolenko,DF,ua Ukraine,21,1999,4,4,354,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,30d4a2e5
295,Joakim Mæhle,DF,dk Denmark,23,1997,6,6,570,6.3,2,1,2,0,0,0,0,0.32,0.16,0.47,0.32,0.47,1.2,1.2,0.6,1.8,0.19,0.09,0.29,0.19,0.29,Matches,c459a650
296,Ádám Nagy,MF,hu Hungary,25,1995,3,3,267,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,788b31e2
297,Loïc Négo,DFMF,hu Hungary,30,1991,3,2,206,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches,c3b6fa1e
298,Manuel Neuer,GK,de Germany,34,1986,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8778c910
299,Rúben Diogo Da Silva Neves,MF,pt Portugal,23,1997,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,44bfb6c5
300,Nemanja Nikolić,FW,hu Hungary,33,1987,2,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e24a8b47
301,Boban Nikolov,DFMF,mk North Macedonia,26,1994,3,2,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.22,0.10,0.32,0.22,0.32,Matches,35862524
302,Kevin Nisbet,FW,sct Scotland,23,1997,3,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.43,0.00,0.43,0.43,0.43,Matches,9f9f2ca7
303,Christian Nørgaard,MF,dk Denmark,26,1994,5,0,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.09,0.09,0.00,0.09,Matches,df0a4c90
"304,Stephen O""Donnell,DF,sct Scotland,28,1992,3,3,251,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.10,0.11,0.01,0.11,Matches,30acf4ba"
"305,Daniel O""Shaughnessy,DF,fi Finland,26,1994,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches,3eeec655"
306,Sérgio Miguel Relvas de Oliveira,MF,pt Portugal,28,1992,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,947e036f
307,Daniel Olmo Carvajal,FW,es Spain,22,1998,5,3,378,4.2,0,3,0,0,0,0,0,0.00,0.71,0.71,0.00,0.71,2.0,2.0,1.7,3.6,0.47,0.39,0.86,0.47,0.86,Matches,ae44e8e2
308,Robin Olsen,GK,se Sweden,31,1990,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e7ee38c3
309,Kristoffer Olsson,MF,se Sweden,25,1995,4,4,336,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,fa73ccc7
310,Karim Onisiwo,FW,at Austria,28,1992,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.98,0.00,0.98,0.98,0.98,Matches,f26834c7
311,Willi Orban,DF,hu Hungary,28,1992,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,20030c06
312,Mislav Oršić,FW,hr Croatia,28,1992,1,0,54,0.6,1,1,1,0,0,0,0,1.67,1.67,3.33,1.67,3.33,1.0,1.0,0.3,1.3,1.59,0.56,2.15,1.59,2.15,Matches,ee950928
313,Mikel Oyarzabal Ugarte,FW,es Spain,23,1997,6,1,167,1.9,1,0,1,0,0,0,0,0.54,0.00,0.54,0.54,0.54,0.9,0.9,0.8,1.7,0.48,0.43,0.91,0.48,0.91,Matches,8c3c640c
314,Magomed Ozdoev,MF,ru Russia,28,1992,3,3,210,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.16,0.06,0.21,0.16,0.21,Matches,3ef0af0d
315,João Maria Lobo Alves Palhinha Gonçalves,MF,pt Portugal,25,1995,2,1,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches,a78ff07f
316,Emerson Palmieri dos Santos,DF,it Italy,26,1994,4,3,292,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.08,0.02,0.10,0.08,0.10,Matches,e0bc6fdc
317,Goran Pandev,FW,mk North Macedonia,37,1983,3,3,248,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.4,0.4,0.3,0.7,0.15,0.11,0.26,0.15,0.26,Matches,d711d04f
318,Mario Pašalić,FWMF,hr Croatia,25,1995,2,0,48,0.5,1,0,1,0,0,0,0,1.87,0.00,1.87,1.87,1.87,0.3,0.3,0.6,1.0,0.62,1.19,1.81,0.62,1.81,Matches,e599253a
319,Rui Pedro dos Santos Patrício,GK,pt Portugal,32,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,79b0d6a0
320,Nathan Patterson,DF,sct Scotland,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,230f0471
321,Benjamin Pavard,DF,fr France,24,1996,3,3,300,3.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05,Matches,45a03961
322,Pedro González López,MF,es Spain,18,2002,6,6,628,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.1,1.1,0.00,0.16,0.16,0.00,0.16,Matches,0d9b2d31
323,Peter Pekarík,DF,sk Slovakia,34,1986,3,3,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,c18d22f5
324,Tomáš Pekhart,FW,cz Czech Republic,31,1989,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.47,0.00,0.47,0.47,0.47,Matches,20dbf9e0
325,Pepe,DF,pt Portugal,37,1983,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,c906ce0f
326,Danilo Luís Hélio Pereira,MF,pt Portugal,29,1991,4,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.01,0.08,0.07,0.08,Matches,8fd9996f
327,Ivan Perišić,FW,hr Croatia,31,1989,3,3,260,2.9,2,1,2,0,0,0,0,0.69,0.35,1.04,0.69,1.04,0.3,0.3,0.6,0.9,0.12,0.20,0.32,0.12,0.32,Matches,6fe90922
328,Matteo Pessina,MF,it Italy,23,1997,4,1,192,2.1,2,0,2,0,0,1,0,0.94,0.00,0.94,0.94,0.94,0.8,0.8,0.1,0.9,0.38,0.07,0.44,0.38,0.44,Matches,780e3631
